Coordonnees,Categorie,activities_name
"{""type"":""Point"",""coordinates"":[-4.0553015,5.3452814]}",Artisanat,Frigoriste
"{""type"":""Point"",""coordinates"":[-4.0557911,5.3420354]}",Artisanat,Atelier D'Architecture Metalique
"{""type"":""Point"",""coordinates"":[-4.0587267,5.3409512]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0589274,5.340755]}",Artisanat,Horlogier
"{""type"":""Point"",""coordinates"":[-4.059064,5.3427745]}",Artisanat,Reparateur Ventilateur
"{""type"":""Point"",""coordinates"":[-4.0811366,5.3497172]}",Artisanat,Ferronnerie
"{""type"":""Point"",""coordinates"":[-4.0794548,5.3512007]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0794267,5.3486643]}",Artisanat,Reparateur Frigo
"{""type"":""Point"",""coordinates"":[-4.0817153,5.3483399]}",Artisanat,Vitrerie
"{""type"":""Point"",""coordinates"":[-4.0841997,5.3616423]}",Artisanat,Reparateur Ventilateur
"{""type"":""Point"",""coordinates"":[-4.0791668,5.3495032]}",Artisanat,Frigoriste
"{""type"":""Point"",""coordinates"":[-4.0753172,5.347258]}",Artisanat,Reparateur Tv
"{""type"":""Point"",""coordinates"":[-4.0635051,5.3489281]}",Artisanat,Fabrication De Savon Tradiontionnel Kabacrou
"{""type"":""Point"",""coordinates"":[-4.0682754,5.3504222]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0607277,5.3520419]}",Artisanat,Scierie Moderne
"{""type"":""Point"",""coordinates"":[-4.0610864,5.3520819]}",Artisanat,Cordonnerie
"{""type"":""Point"",""coordinates"":[-4.0672334,5.3514624]}",Artisanat,Reparation De Television
"{""type"":""Point"",""coordinates"":[-4.0642548,5.351194]}",Artisanat,Ferronnerie
"{""type"":""Point"",""coordinates"":[-4.0848488,5.36004]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0715101,5.3597009]}",Artisanat,Caligraphe
"{""type"":""Point"",""coordinates"":[-4.074643,5.3417046]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0790505,5.337217]}",Artisanat,Atelier De Reparation
"{""type"":""Point"",""coordinates"":[-4.0795702,5.3704869]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0863602,5.3681542]}",Artisanat,Clim Auto Soumahoro
"{""type"":""Point"",""coordinates"":[-4.0837286,5.3369279]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0818219,5.3823421]}",Artisanat,Mecanique
"{""type"":""Point"",""coordinates"":[-4.0737384,5.366122]}",Artisanat,Feronnerie
"{""type"":""Point"",""coordinates"":[-4.0743583,5.3650004]}",Artisanat,Atelier De Rebobinage Tournage
"{""type"":""Point"",""coordinates"":[-4.0746108,5.3649243]}",Artisanat,Atelier De Tournage Et Fraisage
"{""type"":""Point"",""coordinates"":[-4.0916408,5.3817493]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0943522,5.376773]}",Artisanat,Vitrerie
"{""type"":""Point"",""coordinates"":[-4.0791631,5.3421909]}",Artisanat,Calligraphe
"{""type"":""Point"",""coordinates"":[-4.0776886,5.3749238]}",Artisanat,Vitrerie
"{""type"":""Point"",""coordinates"":[-4.0839301,5.339955]}",Artisanat,Atelier De Reparation Frigorique
"{""type"":""Point"",""coordinates"":[-4.0951283,5.3433279]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.1084247,5.3430836]}",Artisanat,Frigoriste
"{""type"":""Point"",""coordinates"":[-4.1070843,5.3441264]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0808447,5.3373188]}",Artisanat,Blanchisserie
"{""type"":""Point"",""coordinates"":[-4.1003603,5.3453015]}",Artisanat,Vitrerie
